num,dept,offered,altYear,name,crd
1,SCI,B,0,Lab Science 1,4
2,SCI,B,0,Lab Science 2,4
3,MSCI,B,0,Math/Science Elective,4
300,CSCI,A,0,UD Elective,4
300b,CSCI,A,0,UD Elective,4
201,BIOL,F,0,Intro Microbiology NS SM,4
205,BIOL,F,0,Human Anatomy/Physiol I NS SM,4
225,BIOL,B,0,Molecules  Cells  Org NS  SM,4
226,BIOL,B,0,Genes  Evol  Div  Ecol  NS  SM,4
330,BIOL,B,0,Genetics,4
354,BIOL,B,0,Natural History of Vertebrates,4
358,BIOL,B,0,Plant Physiology,4
367,BIOL,S,1,Conservation Biol and Mgmt,4
201L,BIOL,F,0, + Lab,0
205L,BIOL,F,0, + Lab,0
225L,BIOL,B,0, + Lab,0
226L,BIOL,B,0, + Lab,0
330L,BIOL,B,0,Genetics Discussion,0
354L,BIOL,B,0, + Lab,0
358L,BIOL,B,0, + Lab,0
367L,BIOL,S,1, + Lab,0
104,CHEM,F,0,Environmental Chemistry NS SM,4
105,CHEM,S,0,Chemistry of Life NS SM,4
115,CHEM,F,0,General Chemistry I NS SM,4
116,CHEM,S,0,General Chemistry II NS SM,4
320,CHEM,S,0,Analytical Chemistry,4
331,CHEM,F,0,Organic Chemistry I,4
332,CHEM,S,0,Organic Chemistry II,4
334,CHEM,S,0,Organic Chemistry II Lab,1
336,CHEM,S,0,Organic Spec Proj Lab,1
341,CHEM,F,0,Physical Chemistry,4
342,CHEM,S,0,Physical Chemistry NS  SM,4
344,CHEM,S,0,Physical Chemistry Lab,1
405,CHEM,S,0,Biochemistry II,3
420,CHEM,S,0,Instrumental Analysis,4
104L,CHEM,F,0, + Lab,0
115L,CHEM,F,0, + Lab,0
116L,CHEM,S,0, + Lab,0
320L,CHEM,S,0, + Lab,0
333L,CHEM,F,0,Organic Chemistry I Lab,1
343L,CHEM,F,0,Physical Chemistry Lab,1
405L,CHEM,S,0, + Lab,0
420L,CHEM,S,0, + Lab,0
115,CSCI,J,0,Solve It With Computers MR NS,4
