c_num,c_dept,stud_id,deg_len,deg_type,year_planned,sem_planned
144,CSCI,10000031,3,BS,2019,F
151,MATH,10000031,3,BS,2019,F
270,CSCI,10000031,3,BS,2020,S
152,MATH,10000031,3,BS,2020,S
3,MSCI,10000031,3,BS,2020,S
343,CSCI,10000031,3,BS,2020,F
302,CSCI,10000031,3,BS,2020,F
1,SCI,10000031,3,BS,2020,F
242,MATH,10000031,3,BS,2020,F
390,CSCI,10000031,3,BS,2021,S
245,MATH,10000031,3,BS,2021,S
2,SCI,10000031,3,BS,2021,S
371,CSCI,10000031,3,BS,2021,F
499A,CSCI,10000031,3,BS,2021,F
300,CSCI,10000031,3,BS,2021,F
300b,CSCI,10000031,3,BS,2021,F
444,CSCI,10000031,3,BS,2022,S
499B,CSCI,10000031,3,BS,2022,S
300,CSCI,10000031,3,BS,2022,S
3,MSCI,10000031,3,BS,2022,S
